country,variable,coef,se
PRT,diy,-0.04930101190120695,0.1232232942583697
PRT,l_lrgdpmad,-0.7626169088826487,0.08980931952938252
PRT,l_lcpi,-0.020986621740462397,0.05601667336190257
PRT,l_open,0.23927049996370897,0.06367632688789444
PRT,l_iy,0.13213140624338848,0.16586741258449594
PRT,mod,-0.08888676429700126,0.01694018398205914
PRT,dlenprmod,0.3061750863016641,0.0912713409271596
PRT,lrgdpmad_csmean,0.6515634549614333,0.2694540760639259
PRT,lcpi_csmean,-0.27496419078488543,0.3486474645625223
PRT,lenpr_csmean,-0.2970777957812061,0.0930312977580024
PRT,open_csmean,0.09173580051208319,0.07294974398086562
PRT,expgdp_csmean,0.3672311742338934,0.4560206197784955
PRT,iy_csmean,-0.841487762442739,0.6900827128547795
PRT,lrgdpmad_csmean_lag,-0.40554327382255906,0.28187988042137285
PRT,lcpi_csmean_lag,0.6434479224280949,0.45709884162814857
PRT,lenpr_csmean_lag,-0.01689396123856568,0.06083036226341111
PRT,open_csmean_lag,0.06052469292484375,0.07177683362682523
PRT,expgdp_csmean_lag,-0.9711893664443778,0.5049022941469291
PRT,iy_csmean_lag,1.7422474908394179,0.634838254335144
PRT,dlenpr,-0.017635460517169577,0.039356384501399916
SWE,const,-1.4378271943132859,1.8607374343269178
SWE,l_dlcpi2,-0.2887961677131443,0.18417674213777793
SWE,dopen,0.1582550504296023,0.08939928496277098
SWE,dexpgdp,0.08642363802863429,0.08513553120710676
SWE,diy,-0.8269147797782352,0.48457450612103353
SWE,l_lrgdpmad,-0.2049924419875424,0.118206307107977
SWE,l_lcpi,0.003371157102037614,0.09166002368180205
SWE,l_open,0.14366549381844607,0.038276659409408054
SWE,l_iy,0.08296120775867166,0.40331726596977463
SWE,mod,0.017390399739269924,0.017492006887651318
SWE,dlenprmod,-0.17187092608128296,0.0799903016986806
SWE,lrgdpmad_csmean,1.754665431363719,0.24434918851772866
SWE,lcpi_csmean,0.638827907072482,0.31964430798917504
SWE,lenpr_csmean,-0.08373274355403737,0.06458519447235807
SWE,open_csmean,-0.31137430630678864,0.07714003286352272
SWE,expgdp_csmean,-0.9164598667784958,0.5186856108130414
SWE,iy_csmean,-1.3794266555069044,0.6349694898174137
SWE,lrgdpmad_csmean_lag,-1.3982974462596758,0.33256301006808986
SWE,lcpi_csmean_lag,-0.7138608342497719,0.35394553248153826
SWE,lenpr_csmean_lag,0.17843341536240587,0.09078498838281832
SWE,open_csmean_lag,0.11521445415695553,0.10070143237009778
SWE,expgdp_csmean_lag,0.9121660987648283,0.8210898250599925
SWE,iy_csmean_lag,0.7116267347228131,0.6878164813856961
SWE,dlenpr,0.294206399791733,0.08493282628282348
USA,const,-2.69902834999084,1.4801930046093472
USA,l_dlcpi2,-0.10292872369836914,0.08271402955706064
USA,dopen,-0.39175279157097975,0.14417419047543606
USA,dexpgdp,-0.494306307946772,0.19004597793570807
USA,diy,0.33362839501069175,0.3268208652344171
USA,l_lrgdpmad,-0.47586327036015064,0.10280802089926745
USA,l_lcpi,-0.48757984431449586,0.14821008695446572
USA,l_open,-0.0024933818849603995,0.10857581333653782
USA,l_iy,-0.08563770637374546,0.18677689077104997
USA,mod,0.01851469861867372,0.00897143220342586
USA,dlenprmod,0.02684177854189329,0.031761388862770176
USA,lrgdpmad_csmean,1.0800105396529034,0.1832117032117594
USA,lcpi_csmean,-0.12924510684752022,0.2522789536580574
USA,lenpr_csmean,0.13932482045083816,0.08214790581861435
USA,open_csmean,-0.033900051906357476,0.045144024495178056
USA,expgdp_csmean,0.10332101409949246,0.38599708287114803
USA,iy_csmean,0.04553081936774106,0.4103716906836451
USA,lrgdpmad_csmean_lag,-0.2098477351692054,0.22941351102078605
USA,lcpi_csmean_lag,0.3072533420072432,0.2733994196270979
USA,lenpr_csmean_lag,-0.040099615054373317,0.07067295432272662
USA,open_csmean_lag,-0.023397112705481504,0.04758825685387322
USA,expgdp_csmean_lag,0.4248601766921638,0.3908205075371214
USA,iy_csmean_lag,-0.48572974072249053,0.429681064508804
USA,dlenpr,-0.0823110763853947,0.06517242724359582
