variant,variable,coef,se,t,p
womod,lrgdpmad_csmean,0.9520997765133975,0.16473773747549925,5.779487997733363,7.492829912081334e-09
womod,lrgdpmad_csmean_lag,-0.4729507140056886,0.11353469559418719,-4.165693240559523,3.104078621074535e-05
womod,open_csmean,-0.029536598295262204,0.027506019903820095,-1.0738230539548217,0.2829019952222973
womod,open_csmean_lag,0.004291334472328545,0.029978684492841683,0.14314619019901392,0.8861747260366597
recession,const,-0.26832293297440357,0.8261764685508177,-0.32477677976602787,0.7453500197471041
recession,dexpgdp,-0.11378515675985648,0.06360515985128382,-1.7889296564288066,0.07362614497029929
recession,diy,0.5405926068490746,0.1305752655426959,4.140084300056889,3.471782142372426e-05
recession,dlenpr,-0.025045238360397057,0.022932126230400855,-1.0921463674482514,0.2747687717668519
recession,dlenprmod,0.03014124800283145,0.029642569821171756,1.0168230414794712,0.309237618850831
recession,dopen,0.09760649540986682,0.04717457674343971,2.0690486729897453,0.03854151949186724
recession,expgdp_csmean,-0.06549676782795275,0.18146740607003645,-0.36092855045646377,0.7181528599839158
recession,expgdp_csmean_lag,0.14904192000667604,0.19724109236176343,0.7556332112241377,0.4498691380433737
recession,iy_csmean,-0.8300217295292354,0.2403211206430356,-3.453802675804429,0.0005527416503476879
recession,iy_csmean_lag,0.08947394345174814,0.2622123783126138,0.34122700090487673,0.7329326979984248
recession,l_dlcpi2,-0.10202585038786371,0.07012168866735688,-1.4549827924403493,0.14567402535457852
recession,l_iy,0.4867722763209271,0.1381132933229552,3.5244418883176607,0.0004243758876429915
recession,l_lcpi,-0.10661682705343829,0.056195362664201685,-1.8972531183851005,0.057794539246257326
recession,l_lrgdpmad,-0.44407410888374405,0.08239932535124501,-5.3892930189753585,7.073539420865416e-08
recession,l_open,0.12936383407737467,0.04185276389411655,3.090926907590922,0.00199532744582287
recession,lcpi_csmean,0.03733839254876068,0.12059573637606756,0.30961619100963966,0.7568528422995118
recession,lcpi_csmean_lag,0.042565578502176064,0.1529194957384868,0.27835285681930977,0.7807415047493169
